tx_type,client,tx,amount
chargeback,49,51,22.3938
withdraw,27,56,22.4833
resolve,16,68,85.0665
chargeback,61,74,19.3614
withdraw,8,47,50.4851
resolve,22,85,11.4395
chargeback,63,36,38.5135
deposit,17,21,6.4102
withdraw,47,100,89.158
resolve,89,21,67.2429
chargeback,25,80,34.0779
deposit,26,19,84.2547
dispute,14,79,98.6407
deposit,74,74,25.6811
chargeback,6,17,19.1375
resolve,81,74,83.1801
resolve,8,45,74.1515
withdraw,66,52,41.5679
deposit,14,87,84.1611
withdraw,42,30,61.9559
resolve,30,96,27.7922
deposit,33,53,85.3217
dispute,72,9,78.0923
chargeback,72,34,6.7763
chargeback,85,25,84.4129
withdraw,46,14,38.5027
resolve,79,36,14.8436
dispute,48,84,68.8174
dispute,91,70,32.7086
dispute,61,4,41.1751
chargeback,29,100,21.8566
resolve,60,19,8.0926
chargeback,39,49,66.2345
dispute,91,81,1.0766
resolve,61,98,40.1466
withdraw,15,85,53.2507
resolve,63,67,41.7847
deposit,63,100,64.3777
deposit,66,6,3.24
resolve,61,18,71.6697
dispute,64,36,47.3655
dispute,39,45,97.1274
deposit,48,46,89.1115
withdraw,31,38,58.9271
withdraw,13,46,76.958
chargeback,59,26,60.1359
dispute,64,2,5.1795
deposit,4,50,25.4675
resolve,45,82,53.9846
chargeback,2,55,14.1155
deposit,55,99,19.7101
resolve,34,45,6.7993
chargeback,64,10,41.9719
withdraw,88,62,85.5003
deposit,53,83,6.8643
deposit,56,62,86.1808
resolve,93,58,79.4041
deposit,20,34,16.8577
chargeback,71,50,83.3731
withdraw,62,46,1.1452
deposit,68,57,81.91
chargeback,24,18,81.2446
chargeback,46,26,18.979
dispute,18,47,30.6223
chargeback,66,87,7.5144
chargeback,54,56,11.6344
chargeback,25,55,2.9558
deposit,21,19,23.896
resolve,82,21,92.3
chargeback,90,64,82.1133
withdraw,4,51,75.9001
resolve,25,87,95.3906
withdraw,50,89,35.056
deposit,92,23,88.7095
resolve,28,48,55.646
resolve,40,84,48.743
chargeback,80,27,33.9517
deposit,76,95,98.0398
deposit,77,13,25.0099
dispute,23,92,48.4982
withdraw,34,81,84.4711
resolve,81,14,18.1901
resolve,55,60,9.2423
resolve,48,20,15.2516
withdraw,62,36,82.378
resolve,71,87,98.7957
withdraw,2,88,67.0965
dispute,12,99,67.7441
dispute,85,91,34.2567
chargeback,33,35,76.7608
dispute,54,53,38.5045
dispute,22,13,18.7093
dispute,1,30,38.8284
dispute,67,27,55.5226
resolve,18,59,85.6175
resolve,70,100,28.5268
resolve,64,36,67.0949
dispute,37,39,90.2086
withdraw,17,40,30.5309
deposit,52,45,91.765
withdraw,72,3,12.7575
chargeback,23,68,68.606
withdraw,75,78,81.4158
chargeback,6,30,11.5186
deposit,17,31,13.001
dispute,47,83,58.4969
dispute,82,87,80.7355
chargeback,89,81,7.0621
chargeback,19,78,20.714
chargeback,63,5,67.1775
resolve,35,26,36.342
withdraw,85,75,86.4372
withdraw,53,77,61.414
resolve,63,46,3.6067
deposit,45,38,54.7736
dispute,22,75,50.1648
dispute,95,48,30.7807
chargeback,97,22,50.8883
chargeback,28,57,7.2987
withdraw,84,100,29.8724
withdraw,79,50,31.8049
chargeback,79,13,23.6291
dispute,66,47,95.2501
dispute,88,97,47.8392
dispute,98,40,81.0737
withdraw,37,64,27.1144
resolve,83,29,68.9679
resolve,32,14,39.3067
dispute,83,71,61.3488
resolve,8,18,70.2544
deposit,49,96,97.9241
chargeback,72,11,98.5354
dispute,82,84,10.8246
resolve,49,77,53.5456
resolve,46,72,61.6833
chargeback,44,33,90.6752
chargeback,72,44,17.6942
resolve,75,63,99.4159
deposit,49,18,98.3099
withdraw,27,2,3.3902
dispute,42,14,91.9105
deposit,21,99,76.7379
resolve,57,39,22.4348
deposit,22,84,97.384
resolve,10,3,13.4146
resolve,50,98,90.3783
chargeback,66,8,22.8212
deposit,87,78,46.8664
dispute,57,84,75.6387
chargeback,9,34,91.3101
withdraw,78,39,10.7602
dispute,96,45,67.4225
resolve,12,97,90.2914
resolve,6,13,67.7592
deposit,32,95,72.0356
withdraw,4,95,80.2665
withdraw,55,49,0.4963
deposit,45,28,88.1274
dispute,75,23,97.7922
dispute,78,45,93.1488
chargeback,57,33,22.8326
deposit,84,91,64.1858
dispute,59,17,89.3916
chargeback,31,23,57.1694
dispute,90,49,25.4484
resolve,74,84,41.9006
chargeback,27,73,8.7461
resolve,47,72,61.9501
withdraw,16,77,87.9468
deposit,49,73,57.9202
withdraw,95,43,11.9318
withdraw,67,56,51.0895
chargeback,48,38,53.8156
withdraw,12,39,21.1582
chargeback,66,21,20.6866
dispute,32,93,14.4033
chargeback,42,95,12.4433
deposit,51,34,58.642
withdraw,47,66,50.7373
resolve,95,8,11.7429
deposit,77,43,92.4203
dispute,33,28,75.7492
deposit,67,74,40.2638
resolve,5,9,32.8933
chargeback,92,26,9.0558
resolve,7,27,68.8369
chargeback,34,2,66.5196
dispute,24,15,83.6071
withdraw,79,50,98.0502
chargeback,72,81,50.0245
resolve,37,68,23.2544
deposit,72,92,69.0839
withdraw,96,46,68.6907
dispute,37,58,31.3201
chargeback,77,23,89.304
deposit,4,19,50.3197
chargeback,82,43,59.0503
resolve,36,78,36.3192
dispute,1,60,34.235
deposit,87,36,16.4568
resolve,94,75,91.6009
chargeback,17,21,75.1191
deposit,18,75,51.4102
resolve,48,92,56.3007
withdraw,94,21,38.4502
dispute,56,36,16.3205
deposit,51,32,61.8778
resolve,21,24,20.7979
withdraw,7,44,69.1999
withdraw,14,85,91.3509
withdraw,20,67,56.4969
deposit,46,75,4.549
resolve,36,25,67.8375
resolve,7,98,64.7089
dispute,35,36,30.9587
resolve,35,34,80.3555
dispute,56,69,24.8811
withdraw,15,85,61.7713
withdraw,37,89,57.4182
dispute,73,32,17.0111
dispute,21,31,8.1289
deposit,36,69,64.124
withdraw,15,76,7.0344
withdraw,18,11,19.83
resolve,87,80,88.44
deposit,18,3,86.1982
resolve,92,52,79.4249
dispute,87,29,59.7821
dispute,52,77,95.3128
dispute,28,17,32.8837
resolve,21,38,49.0909
withdraw,50,37,37.8415
resolve,62,85,18.3744
chargeback,13,44,48.193
chargeback,76,9,22.7679
resolve,51,8,88.872
dispute,14,59,60.7205
deposit,18,73,76.6391
resolve,100,46,46.2945
withdraw,38,82,77.9201
resolve,1,52,2.5794
resolve,40,73,38.2711
chargeback,30,50,16.9508
deposit,85,91,7.7944
withdraw,77,95,28.0782
deposit,86,44,85.1277
deposit,9,1,7.8892
deposit,68,62,24.8573
resolve,53,4,4.378
dispute,7,29,41.996
withdraw,62,78,37.5062
dispute,60,48,33.8444
resolve,82,57,9.594
withdraw,5,33,82.1614
deposit,30,3,33.1667
withdraw,57,94,76.8011
chargeback,39,55,51.975
withdraw,93,11,10.796
dispute,26,50,93.7439
withdraw,41,77,31.9249
withdraw,62,90,62.6765
dispute,4,33,48.2956
deposit,9,41,57.0659
chargeback,26,5,42.5412
resolve,91,70,12.9825
dispute,33,8,1.6251
chargeback,19,78,65.5882
withdraw,100,67,57.3263
chargeback,32,43,47.9492
withdraw,84,47,56.5149
chargeback,98,14,33.5939
dispute,78,16,78.8679
withdraw,25,13,89.8404
withdraw,58,16,66.0826
resolve,97,82,56.674
withdraw,75,87,33.906
dispute,56,21,53.1757
chargeback,17,13,73.8235
deposit,43,100,65.8508
dispute,48,71,90.4191
dispute,28,2,41.2205
withdraw,60,56,65.2456
deposit,53,86,42.1689
chargeback,57,1,92.6754
dispute,88,8,58.2904
chargeback,74,86,18.8952
resolve,37,9,56.3914
resolve,2,85,66.4839
resolve,54,18,54.8855
chargeback,60,77,9.5024
deposit,23,26,88.9809
dispute,70,29,22.371
resolve,47,54,68.6504
deposit,27,62,9.2657
withdraw,31,18,63.9665
deposit,87,36,25.4075
chargeback,94,35,41.2973
withdraw,22,32,60.2458
deposit,88,59,59.8841
dispute,26,32,78.2511
dispute,28,24,12.3837
withdraw,16,20,12.336
withdraw,28,66,94.035
chargeback,83,13,80.1665
chargeback,74,6,15.3797
withdraw,100,55,62.1644
dispute,11,94,0.7225
chargeback,39,56,26.8745
dispute,41,84,26.0905
dispute,84,87,61.5854
deposit,39,44,62.8455
dispute,37,89,31.2137
deposit,15,68,17.5089
chargeback,45,13,30.6206
chargeback,76,15,33.8182
deposit,64,42,3.7143
resolve,23,4,17.4053
resolve,64,69,15.1595
dispute,41,20,47.3676
withdraw,50,23,97.4753
resolve,92,23,19.4246
dispute,88,23,75.4438
chargeback,77,21,79.6422
chargeback,50,74,68.7576
deposit,23,52,39.0159
chargeback,8,4,57.925
deposit,90,11,71.9009
resolve,88,60,90.2933
withdraw,18,28,94.1212
deposit,84,2,60.1811
resolve,63,92,70.7481
deposit,83,81,30.9942
chargeback,15,98,94.7369
withdraw,12,68,61.9225
withdraw,42,77,41.181
chargeback,78,6,59.0745
deposit,40,14,74.2947
chargeback,33,71,36.9184
chargeback,61,36,16.1132
dispute,53,9,2.4284
chargeback,60,14,30.0938
dispute,87,14,48.6038
resolve,43,95,59.4714
withdraw,19,4,79.0082
resolve,28,82,28.8515
resolve,40,94,33.0463
deposit,5,32,14.9471
withdraw,49,58,21.6847
resolve,95,30,4.912
dispute,46,21,11.0469
withdraw,77,63,48.1962
withdraw,93,39,99.6842
chargeback,75,31,8.117
dispute,35,71,15.5691
resolve,12,29,80.2316
dispute,59,100,84.2428
dispute,78,7,56.5753
chargeback,95,14,41.49
resolve,100,25,50.3526
dispute,85,48,92.6173
withdraw,49,17,69.1056
withdraw,31,81,13.2183
dispute,69,55,50.5248
deposit,74,13,89.9482
withdraw,76,26,78.9706
withdraw,47,26,13.8795
resolve,93,72,72.7925
withdraw,21,40,9.0702
deposit,87,62,27.3804
deposit,66,26,54.9474
dispute,92,44,42.9512
withdraw,52,48,88.6614
resolve,96,85,99.7429
resolve,22,5,71.7777
deposit,89,88,35.8719
chargeback,57,88,63.2443
deposit,91,2,39.4262
chargeback,33,50,43.9749
chargeback,58,69,53.7169
dispute,39,23,95.469
chargeback,79,68,46.5759
resolve,87,86,80.5879
resolve,53,100,85.9618
dispute,46,43,62.261
deposit,78,60,62.5046
chargeback,87,80,36.5601
resolve,70,14,81.0985
withdraw,96,82,17.6193
chargeback,86,75,14.2036
withdraw,74,77,42.2232
dispute,47,70,70.4913
deposit,90,51,78.6464
chargeback,9,91,35.4221
resolve,62,87,45.8139
resolve,82,42,4.0573
dispute,59,97,83.3631
withdraw,20,15,18.9067
chargeback,27,53,75.4761
chargeback,96,20,82.4883
deposit,95,62,47.113
chargeback,97,33,83.3476
deposit,24,21,61.6692
resolve,33,84,37.1104
withdraw,36,91,47.2421
chargeback,50,54,60.9091
chargeback,41,14,29.4577
deposit,40,78,29.9902
deposit,23,91,6.5025
chargeback,7,67,79.2954
dispute,77,19,52.2814
withdraw,47,45,19.5836
resolve,83,2,32.2948
dispute,63,93,1.8272
chargeback,74,69,74.5162
deposit,18,41,57.2044
deposit,68,65,57.2625
withdraw,24,38,53.0614
withdraw,64,90,34.9898
deposit,64,60,84.7031
dispute,32,72,33.5454
chargeback,27,39,29.0667
chargeback,68,97,89.6993
deposit,26,85,18.1809
withdraw,12,86,30.1209
withdraw,29,10,88.4315
withdraw,9,29,71.4757
deposit,63,59,22.9546
resolve,25,40,0.4195
resolve,83,59,66.218
resolve,74,21,48.7182
withdraw,85,93,58.1315
dispute,50,86,64.4054
resolve,99,20,24.0119
withdraw,17,80,61.2784
withdraw,24,33,87.9515
deposit,100,86,5.226
withdraw,76,52,53.7322
resolve,3,9,63.9605
chargeback,54,62,95.2049
withdraw,41,45,45.038
chargeback,78,45,17.2688
deposit,88,46,15.6493
deposit,35,72,24.3505
dispute,78,57,27.6533
resolve,20,31,62.3964
withdraw,24,40,68.0407
withdraw,2,30,77.0017
deposit,6,84,26.4784
deposit,54,90,38.5633
chargeback,13,65,35.0046
resolve,29,23,24.9486
resolve,81,21,27.1725
chargeback,47,76,35.2222
dispute,60,6,14.6961
dispute,100,98,27.1409
resolve,87,9,44.906
deposit,29,54,15.9371
withdraw,32,48,37.3884
chargeback,97,66,68.9062
chargeback,31,85,45.4671
dispute,30,64,25.5359
withdraw,45,67,26.7491
deposit,3,23,82.4003
deposit,49,34,66.4997
withdraw,95,89,10.8774
resolve,47,30,97.5733
withdraw,50,60,47.8219
deposit,57,62,39.9124
dispute,42,38,63.176
withdraw,31,38,18.3439
deposit,69,36,63.6366
dispute,43,77,50.3896
deposit,61,64,66.7268
withdraw,46,79,9.3031
deposit,51,5,85.4087
resolve,33,26,67.6257
resolve,30,9,98.9006
chargeback,94,95,20.0261
deposit,14,87,91.565
dispute,95,14,27.7472
dispute,66,23,86.9481
chargeback,52,59,57.159
dispute,50,30,16.6297
withdraw,97,17,92.3187
dispute,93,44,91.6428
dispute,63,50,22.9602
withdraw,72,14,86.6354
resolve,30,57,7.8453
deposit,74,30,5.9741
resolve,29,33,60.9525
chargeback,93,56,76.5177
deposit,70,2,3.6338
chargeback,12,82,92.8325
deposit,90,53,23.978
dispute,79,7,82.8093
chargeback,38,36,84.2165
chargeback,8,75,61.1632
withdraw,15,63,88.5059
deposit,27,91,94.645
deposit,7,76,3.8995
resolve,8,25,56.3113
chargeback,43,39,35.8069
dispute,96,77,89.3047
dispute,78,75,33.2085
withdraw,93,36,77.4717
chargeback,89,9,1.2676
dispute,35,47,84.107
deposit,25,57,18.7296
withdraw,26,76,24.142
dispute,81,91,68.2106
resolve,80,86,34.7115
deposit,22,11,38.3898
withdraw,45,76,41.854
dispute,21,4,26.9075
withdraw,8,49,97.2467
resolve,99,39,29.5672
withdraw,29,27,55.4359
dispute,26,74,11.9196
deposit,53,56,6.0532
resolve,58,69,38.0571
resolve,86,43,61.2529
resolve,39,10,41.5081
resolve,6,42,68.5451
deposit,47,44,76.8651
chargeback,90,24,50.6809
resolve,82,48,57.4022
withdraw,81,83,51.6393
resolve,61,72,75.9538
withdraw,7,58,65.6603
resolve,28,67,70.3746
chargeback,48,47,19.531
withdraw,19,42,80.178
withdraw,48,52,84.0172
chargeback,51,94,83.0566
chargeback,82,70,85.6177
chargeback,23,70,91.039
dispute,47,62,48.806
resolve,74,11,10.5552
resolve,29,39,10.8252
deposit,2,93,53.5998
chargeback,61,40,6.4185
withdraw,17,15,96.0808
deposit,23,93,82.0903
resolve,13,72,7.902
dispute,59,8,30.0984
withdraw,22,15,36.4435
chargeback,96,50,19.4094
deposit,56,38,82.8801
deposit,9,57,82.6298
deposit,72,3,71.1246
resolve,35,28,46.1062
chargeback,38,16,24.5049
dispute,58,9,44.1976
withdraw,25,70,40.9698
dispute,84,40,73.5858
deposit,84,45,90.4942
deposit,32,50,63.8584
dispute,94,76,31.1665
resolve,39,84,99.7761
dispute,1,36,83.2633
withdraw,83,88,62.6535
withdraw,29,39,39.0956
dispute,51,30,99.9711
dispute,17,92,64.7901
dispute,23,32,37.0735
withdraw,41,25,13.8374
withdraw,65,68,2.7518
chargeback,98,61,81.9237
dispute,42,37,86.776
dispute,10,6,58.6543
dispute,9,36,5.4718
withdraw,75,30,52.739
deposit,71,12,33.6737
withdraw,12,41,16.0308
chargeback,27,29,68.8289
chargeback,91,45,77.584
chargeback,94,97,13.1637
resolve,35,69,79.0789
dispute,98,73,42.8556
deposit,17,98,64.4878
chargeback,72,34,69.2354
withdraw,3,68,7.6862
chargeback,80,4,48.3883
chargeback,85,19,42.2216
withdraw,47,22,31.6754
withdraw,12,34,50.9572
deposit,23,80,76.4789
dispute,45,75,47.6088
withdraw,36,91,13.3815
resolve,43,55,72.4781
dispute,12,59,19.7283
withdraw,94,80,97.787
deposit,22,28,25.6275
deposit,80,51,53.207
withdraw,93,74,33.1197
withdraw,58,29,15.586
deposit,4,52,15.9735
resolve,3,76,87.6013
withdraw,22,53,39.7919
resolve,73,61,45.2101
withdraw,78,7,17.4571
dispute,79,31,82.6294
dispute,97,39,89.3127
deposit,10,41,36.5774
withdraw,12,14,78.6157
deposit,91,96,61.341
chargeback,83,7,4.101
dispute,73,43,28.8329
withdraw,78,29,97.8082
chargeback,2,84,80.2339
deposit,91,61,34.3029
resolve,21,34,52.1137
chargeback,36,10,79.7142
dispute,46,100,9.5704
resolve,66,21,72.3554
dispute,11,32,69.5736
dispute,24,11,47.1443
deposit,34,71,87.3623
deposit,8,54,58.1661
chargeback,39,72,84.0524
dispute,95,85,72.5438
withdraw,84,83,99.7156
deposit,99,21,50.7251
withdraw,50,92,79.6979
deposit,65,18,50.3066
withdraw,54,14,67.0431
withdraw,47,77,89.4512
resolve,21,98,68.2983
chargeback,84,98,41.7912
resolve,6,89,45.2816
resolve,2,26,78.7588
resolve,41,69,91.114
dispute,77,40,45.6977
withdraw,60,91,27.4708
withdraw,43,9,5.7554
deposit,31,27,41.017
deposit,96,100,86.2728
dispute,42,7,5.2888
chargeback,75,12,93.1781
chargeback,80,75,69.8969
dispute,18,2,37.7245
chargeback,94,63,1.2798
resolve,13,54,76.6501
dispute,17,73,9.2449
deposit,41,90,62.2213
dispute,56,52,39.4179
chargeback,77,80,47.063
dispute,33,44,90.9187
dispute,85,78,83.5152
chargeback,12,70,19.0106
dispute,97,21,27.7286
resolve,22,14,17.0881
withdraw,89,67,75.5984
withdraw,20,94,97.0446
deposit,1,11,63.795
deposit,75,67,48.218
deposit,62,53,77.9424
withdraw,4,13,82.4924
deposit,27,70,93.9439
deposit,73,19,69.628
chargeback,2,36,86.7465
chargeback,62,10,70.4397
chargeback,86,58,33.8562
withdraw,47,34,50.7025
withdraw,82,63,76.695
deposit,43,74,54.9124
deposit,37,53,50.8506
deposit,77,66,31.7043
deposit,78,58,36.2495
resolve,13,90,92.3515
dispute,27,26,41.2369
dispute,43,33,31.8678
deposit,34,68,65.1189
chargeback,100,42,28.3991
deposit,66,73,64.5276
withdraw,36,81,89.4311
resolve,34,67,10.5319
resolve,34,58,62.7473
dispute,57,17,35.1594
withdraw,85,25,13.6818
chargeback,45,25,41.958
dispute,89,17,59.5225
resolve,57,100,47.0739
chargeback,55,66,57.6768
chargeback,65,14,10.9703
dispute,13,52,14.0208
deposit,14,53,17.6077
chargeback,32,29,13.9473
deposit,3,15,90.3973
dispute,9,21,45.5743
dispute,72,98,67.5182
dispute,69,70,52.6703
resolve,55,23,19.9717
resolve,91,48,97.9356
withdraw,3,49,26.2447
chargeback,76,72,19.8489
resolve,20,19,92.1073
withdraw,22,39,30.5084
chargeback,76,41,89.1366
withdraw,58,8,38.3409
withdraw,76,8,49.1084
chargeback,2,77,64.7119
dispute,87,10,15.8165
deposit,36,100,11.1436
dispute,70,16,62.478
resolve,70,65,15.5496
withdraw,99,58,18.3991
chargeback,75,22,15.5598
dispute,100,95,0.6542
resolve,29,31,44.8343
withdraw,24,52,38.5898
dispute,13,24,43.8086
resolve,21,69,44.5491
withdraw,42,52,35.1225
chargeback,59,18,98.3114
dispute,59,24,51.9642
resolve,70,20,8.9911
deposit,64,69,43.6066
withdraw,59,43,33.6439
chargeback,81,10,1.6706
deposit,51,23,9.3709
resolve,89,53,27.973
deposit,68,13,15.954
resolve,54,9,4.3222
resolve,25,56,71.5045
chargeback,40,36,92.2324
withdraw,24,38,27.3514
chargeback,40,65,17.263
withdraw,50,97,42.2502
dispute,71,74,98.4677
dispute,43,93,84.6817
chargeback,74,97,94.5066
deposit,29,87,97.0893
chargeback,82,27,81.9465
withdraw,34,35,66.5773
resolve,82,37,11.9101
resolve,72,70,71.2255
deposit,33,32,59.9658
chargeback,4,42,3.0317
dispute,81,39,38.9691
dispute,91,18,71.473
resolve,93,3,76.0014
deposit,33,36,10.2424
deposit,5,20,50.4549
chargeback,35,89,48.5764
deposit,68,10,82.8854
withdraw,71,10,8.5856
withdraw,9,57,30.9753
resolve,92,4,52.5351
withdraw,63,96,32.9916
resolve,94,75,43.0745
deposit,86,97,65.5457
deposit,59,93,27.1883
deposit,94,7,90.305
withdraw,15,17,96.6553
deposit,18,46,36.7656
withdraw,81,28,79.8111
chargeback,45,49,43.3207
deposit,9,65,54.8631
resolve,43,21,75.6088
dispute,37,98,86.0786
withdraw,69,87,86.1583
withdraw,82,16,4.3591
deposit,90,86,17.1398
dispute,99,41,96.4522
withdraw,69,76,34.9902
dispute,54,53,0.187
chargeback,3,38,73.0702
resolve,17,42,29.6854
deposit,6,14,46.0936
chargeback,15,97,36.36
chargeback,99,72,5.8306
resolve,6,85,52.0064
resolve,67,25,86.776
chargeback,87,81,60.8953
withdraw,23,40,94.9211
withdraw,94,94,32.633
withdraw,34,21,25.0837
withdraw,51,92,98.1112
resolve,8,84,9.3018
chargeback,79,51,18.7516
deposit,14,49,20.1494
deposit,4,83,82.4389
chargeback,43,90,11.2335
resolve,15,39,9.7536
dispute,53,18,14.9293
chargeback,70,72,20.1799
dispute,90,92,99.617
deposit,6,21,85.4713
dispute,48,6,88.03
deposit,48,23,84.9938
deposit,7,50,57.6967
resolve,85,87,91.5002
deposit,61,10,82.5515
resolve,73,56,76.5264
deposit,60,33,92.8137
deposit,45,18,72.1627
dispute,2,48,33.9536
chargeback,65,1,9.1412
deposit,32,25,7.6813
dispute,58,29,83.4382
deposit,4,97,0.0295
chargeback,94,69,67.0402
deposit,56,80,60.6396
deposit,4,97,9.2616
chargeback,100,74,4.3943
dispute,87,50,37.7233
deposit,28,2,13.7754
chargeback,62,38,46.5633
chargeback,17,10,51.4159
chargeback,83,96,13.3998
dispute,82,2,46.5711
withdraw,33,17,67.2987
dispute,59,96,73.8797
withdraw,13,40,93.384
dispute,27,23,85.388
dispute,61,12,37.0254
resolve,69,21,18.4215
chargeback,36,20,20.5083
withdraw,43,37,38.2486
deposit,95,63,12.5775
resolve,25,22,26.041
dispute,32,58,98.1818
dispute,91,38,98.7774
deposit,74,71,18.4879
chargeback,68,11,27.9821
resolve,15,22,90.7326
resolve,49,83,51.2452
chargeback,91,15,73.6863
chargeback,93,94,73.8497
deposit,55,61,22.4906
resolve,42,24,69.6504
deposit,62,71,28.027
chargeback,74,57,53.6897
chargeback,42,21,89.3431
withdraw,45,95,23.3679
dispute,30,94,44.61
chargeback,54,4,85.9194
dispute,71,67,99.0343
chargeback,42,24,69.6326
chargeback,66,34,20.9925
deposit,70,98,26.2049
dispute,68,8,97.6856
resolve,7,99,65.6674
dispute,20,15,31.4496
chargeback,59,93,67.8851
chargeback,53,42,87.8105
resolve,9,62,59.126
dispute,65,78,84.7592
dispute,41,72,26.6399
deposit,51,67,12.4012
resolve,5,5,51.3166
chargeback,97,36,80.3844
withdraw,29,7,52.4252
deposit,41,73,64.1231
dispute,51,73,98.4315
dispute,2,5,99.9748
dispute,63,91,62.5021
deposit,54,29,28.5274
withdraw,20,12,87.4754
chargeback,96,53,80.6738
dispute,57,33,2.9237
deposit,28,18,45.299
deposit,31,5,69.896
chargeback,5,100,9.1168
chargeback,46,51,1.99
withdraw,3,81,59.5398
withdraw,12,73,54.4002
withdraw,20,92,58.9066
deposit,83,30,23.8589
dispute,73,73,13.6934
withdraw,44,91,32.5604
chargeback,42,93,87.8475
resolve,72,21,15.6235
withdraw,96,59,15.7317
deposit,73,99,63.3475
withdraw,79,21,57.1317
withdraw,83,4,56.1385
withdraw,79,74,12.3958
chargeback,96,57,32.6742
deposit,75,72,7.4369
deposit,91,16,47.0778
chargeback,34,62,9.0705
deposit,37,31,52.582
withdraw,81,58,67.9024
resolve,29,17,18.6429
chargeback,11,97,48.4652
deposit,97,72,20.3878
deposit,33,93,49.9545
dispute,36,5,98.2355
deposit,88,53,64.4994
withdraw,76,88,34.2144
chargeback,23,6,19.0177
deposit,6,82,21.213
deposit,80,1,85.9518
resolve,41,66,38.4421
withdraw,84,65,34.7106
dispute,53,60,47.5944
deposit,34,52,70.4816
dispute,66,92,96.1655
withdraw,9,43,56.4487
chargeback,13,6,84.5603
resolve,96,19,55.6467
deposit,66,82,18.9662
chargeback,90,30,6.764
resolve,35,62,72.6044
resolve,3,19,58.3407
resolve,94,35,6.6858
resolve,10,27,19.5137
deposit,7,44,1.4066
dispute,24,5,15.1258
resolve,38,69,46.9602
resolve,63,90,7.306
chargeback,14,53,13.3785
deposit,76,2,15.4552
dispute,44,85,88.9651
withdraw,50,78,3.4693
chargeback,26,95,70.3006
resolve,96,83,88.108
resolve,33,24,40.173
dispute,37,60,2.0243
withdraw,52,31,74.0911
deposit,80,32,11.5329
resolve,99,53,76.7201
dispute,44,74,46.1247
dispute,60,47,7.17
chargeback,97,97,94.4717
chargeback,13,28,31.9858
withdraw,20,67,73.6793
withdraw,61,2,46.3751
deposit,99,32,10.0907
withdraw,37,14,71.7645
withdraw,71,44,68.2851
chargeback,7,37,25.0828
resolve,47,81,61.074
resolve,78,41,82.8866
deposit,40,39,10.8313
deposit,12,78,22.1207
resolve,38,98,70.243
withdraw,52,85,47.467
deposit,96,22,85.9717
resolve,78,97,61.2679
deposit,33,89,18.5533
withdraw,12,56,68.3827
deposit,93,38,82.6195
chargeback,77,56,13.5725
dispute,75,62,49.4108
resolve,22,38,35.2236
resolve,44,92,1.8891
chargeback,27,59,87.176
withdraw,75,44,99.6428
resolve,28,18,6.1519
resolve,68,60,6.047
withdraw,55,50,55.2443
dispute,74,18,99.7273
deposit,96,41,50.8284
withdraw,83,2,19.8322
resolve,75,10,40.6488
resolve,63,70,9.3773
resolve,62,42,89.5191
resolve,35,30,60.976
resolve,23,32,52.2955
deposit,67,48,57.4579
deposit,53,19,16.8784
withdraw,34,87,13.0606
dispute,23,75,21.8834
chargeback,66,42,84.5887
resolve,67,14,54.019
dispute,27,24,15.0569
deposit,2,2,51.1219
dispute,14,25,3.0197
resolve,10,43,29.4079
resolve,73,51,58.364
resolve,34,43,73.1633
chargeback,88,3,46.6379
chargeback,92,44,15.0004
deposit,33,23,2.4994
deposit,48,46,30.3742
chargeback,57,7,40.3194
chargeback,37,5,56.6275
resolve,38,65,51.9398
dispute,40,80,66.265
resolve,67,42,61.6844
dispute,48,48,29.8288
chargeback,34,58,91.7564
dispute,42,27,55.4194
resolve,87,80,63.5082
chargeback,90,71,67.3551
resolve,56,74,66.0858
resolve,76,79,95.6608
dispute,26,53,64.2448
dispute,37,60,62.4366
chargeback,88,81,75.6293
resolve,20,97,88.9375
dispute,41,90,10.661
withdraw,13,68,65.7381
resolve,97,80,15.103
withdraw,67,96,85.665
deposit,75,46,27.8381
resolve,79,28,49.8124
resolve,56,27,87.4351
deposit,6,82,62.2401
resolve,20,92,12.4847
withdraw,36,30,74.7759
dispute,76,75,98.9364
withdraw,15,5,18.8152
resolve,41,59,62.8834
dispute,82,71,26.1645
withdraw,78,17,87.9938
chargeback,25,51,14.3118
deposit,69,16,18.0297
withdraw,57,24,41.0639
withdraw,56,30,22.3498
withdraw,63,54,46.928
chargeback,72,16,47.1939
chargeback,96,96,94.1934
chargeback,10,3,10.1649
chargeback,21,23,17.5026
deposit,25,41,0.3994
deposit,53,7,87.2379
withdraw,13,2,87.6912
deposit,88,90,10.6927
chargeback,8,30,87.2754
deposit,18,12,64.3221
withdraw,6,24,70.576
dispute,82,6,60.7432
dispute,56,27,31.1605
deposit,42,26,5.3055
dispute,72,77,25.8123
chargeback,19,34,75.8691
deposit,97,1,37.0576
withdraw,37,32,50.3318
dispute,67,34,6.4869
chargeback,65,42,43.7937
chargeback,97,83,81.7221
chargeback,19,36,48.6074
chargeback,78,51,70.9147
withdraw,75,20,36.8784
chargeback,74,67,72.962
deposit,73,35,33.0152
chargeback,8,2,65.6726
deposit,1,22,44.301
deposit,53,32,79.2811
chargeback,68,56,63.2324
dispute,68,66,15.6103
resolve,55,69,36.9803
dispute,15,29,76.7438
deposit,18,39,62.7826
chargeback,48,16,29.4108
deposit,42,29,62.1971
deposit,10,7,41.2602
deposit,18,59,9.8443
